Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
45,No,Travel_Rarely,466,Research & Development,2,5,Technical Degree,0,1436,0,Male,73,3,0,Research Scientist,4,Married,3420,10206,7,Y,No,14,2,4,80,0,15,2,2,7,6,2,3
29,Yes,Travel_Rarely,531,Research & Development,1,2,Life Sciences,1,364,2,Male,78,5,1,Laboratory Technician,4,Single,3485,14935,0,Y,No,9,5,1,80,1,6,4,0,1,0,2,0
24,No,Non-Travel,784,Research & Development,5,3,Medical,3,1691,6,Male,76,4,0,Laboratory Technician,3,Single,2571,11926,0,Y,No,22,6,4,81,1,8,6,5,5,5,3,8
42,No,Travel_Frequently,958,Research & Development,27,3,Medical,2,173,3,Female,72,2,0,Research Scientist,5,Single,4741,16091,4,Y,No,14,5,3,78,0,17,4,4,4,4,0,3
57,No,Travel_Rarely,593,Research & Development,2,5,Medical,0,483,5,Male,88,1,3,Healthcare Representative,5,Married,6753,2967,3,Y,No,13,4,5,79,0,17,2,4,4,3,1,3
39,No,Travel_Rarely,848,Research & Development,26,0,Life Sciences,3,422,0,Female,80,4,3,Research Director,3,Married,12062,26708,2,Y,No,17,1,1,81,2,20,3,5,10,8,2,3
25,No,Travel_Rarely,572,Research & Development,14,3,Other,0,1984,3,Male,79,5,0,Laboratory Technician,3,Single,2647,13672,0,Y,No,13,4,4,82,0,4,4,3,4,1,1,5
42,No,Travel_Rarely,1123,Sales,1,4,Medical,2,453,1,Male,56,0,1,Sales Executive,2,Married,7456,13274,2,Y,Yes,21,5,5,82,1,4,0,4,2,5,2,4
35,No,Travel_Rarely,678,Research & Development,0,1,Other,1,821,1,Female,37,2,4,Manufacturing Director,2,Married,5229,23363,0,Y,No,17,1,1,81,1,11,0,1,9,6,0,7
59,No,Travel_Rarely,818,Human Resources,6,2,Medical,1,321,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,Y,No,17,3,4,80,0,7,2,2,2,2,2,2
32,No,Non-Travel,1183,Research & Development,0,3,Life Sciences,2,952,4,Female,72,3,2,Laboratory Technician,4,Married,2334,3972,4,Y,No,18,3,1,81,2,6,5,2,5,0,2,0
37,Yes,Travel_Rarely,806,Human Resources,6,5,Human Resources,0,134,1,Male,62,4,3,Human Resources,0,Divorced,2071,23650,2,Y,Yes,24,5,4,79,1,9,3,3,4,1,2,3
31,No,Travel_Rarely,441,Research & Development,6,0,Other,1,1546,5,Female,38,3,0,Healthcare Representative,0,Married,9714,7287,2,Y,No,13,1,4,82,0,8,1,4,6,6,1,9
44,No,Travel_Rarely,1466,Research & Development,19,2,Life Sciences,2,1477,2,Male,50,3,1,Research Scientist,0,Single,3421,21160,0,Y,No,13,5,1,78,0,5,4,0,5,4,3,3
44,No,Travel_Rarely,1118,Research & Development,4,0,Life Sciences,3,1247,3,Female,74,3,1,Research Scientist,6,Married,2013,19984,0,Y,No,14,1,6,78,0,11,5,4,8,6,5,7
29,No,Travel_Rarely,617,Research & Development,10,5,Medical,3,962,6,Female,43,2,3,Healthcare Representative,5,Married,5853,17367,2,Y,Yes,12,1,3,80,1,12,2,0,10,5,10,3
33,No,Travel_Rarely,252,Research & Development,3,3,Life Sciences,1,649,2,Male,83,0,1,Research Scientist,4,Married,3620,22796,2,Y,Yes,11,4,3,78,2,4,5,5,7,6,0,5
43,No,Travel_Frequently,1000,Research & Development,8,7,Medical,3,664,5,Male,71,1,2,Laboratory Technician,5,Divorced,5680,19629,1,Y,Yes,15,2,0,80,0,9,1,3,10,6,5,7
18,No,Travel_Rarely,812,Sales,10,3,Medical,1,411,4,Female,69,2,1,Sales Representative,3,Single,1200,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0
30,No,Travel_Rarely,1281,Research & Development,21,3,Life Sciences,2,493,2,Male,54,3,1,Research Scientist,2,Single,2201,18170,10,Y,No,17,5,5,82,0,6,2,4,4,3,2,1
37,No,Travel_Frequently,218,Research & Development,25,1,Life Sciences,3,12,5,Male,46,1,4,Manufacturing Director,5,Single,9525,8788,0,Y,No,23,2,2,82,0,8,0,2,7,7,3,10
26,No,Non-Travel,1476,Research & Development,0,5,Life Sciences,1,1314,1,Female,57,2,2,Laboratory Technician,4,Married,6672,16392,1,Y,No,13,4,1,82,2,11,5,1,10,7,9,4
45,No,Travel_Rarely,1198,Research & Development,2,3,Life Sciences,2,1289,1,Male,94,6,4,Manager,1,Divorced,19188,17479,3,Y,No,12,1,6,78,3,28,2,2,25,7,15,14
30,No,Travel_Rarely,928,Sales,9,3,Marketing,0,723,6,Male,54,2,0,Sales Executive,3,Single,5394,21701,0,Y,No,14,1,4,80,1,10,4,3,12,5,0,9
36,No,Travel_Rarely,890,Sales,2,1,Marketing,0,51,3,Female,99,4,1,Sales Representative,3,Married,2013,9688,3,Y,No,13,4,2,81,2,3,3,1,2,4,3,4
27,No,Travel_Rarely,1281,Research & Development,7,3,Medical,0,145,2,Male,63,0,0,Research Scientist,4,Married,2887,26895,0,Y,No,12,2,1,80,2,3,0,2,4,3,0,3
32,Yes,Travel_Frequently,562,Research & Development,2,3,Life Sciences,2,1539,4,Female,34,1,3,Research Scientist,5,Single,4083,4155,0,Y,No,10,2,2,82,0,7,4,2,6,1,5,6
40,No,Travel_Rarely,833,Research & Development,20,2,Medical,2,1767,1,Male,60,0,4,Healthcare Representative,5,Married,5811,24537,5,Y,Yes,15,4,4,81,0,13,2,1,0,0,0,0
38,No,Travel_Frequently,1232,Sales,22,0,Medical,2,900,4,Female,54,1,0,Sales Representative,2,Married,2972,21221,4,Y,No,16,3,4,78,2,10,5,4,7,4,1,0
34,No,Travel_Rarely,219,Research & Development,16,0,Other,1,1885,5,Female,45,3,1,Manufacturing Director,0,Married,4788,25386,0,Y,Yes,10,2,6,78,0,2,1,2,1,4,2,1
32,Yes,Travel_Rarely,1045,Sales,4,4,Medical,1,291,4,Male,32,1,3,Sales Executive,4,Married,10400,25812,1,Y,No,11,3,3,80,0,14,2,2,14,8,9,8
36,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,0,147,0,Male,65,0,2,Laboratory Technician,1,Single,6074,22889,1,Y,Yes,23,3,2,82,1,7,4,3,10,9,2,8
29,No,Travel_Rarely,987,Research & Development,4,5,Medical,0,563,4,Male,93,1,4,Research Director,4,Married,11933,21526,3,Y,No,18,2,2,80,2,11,3,3,12,1,0,8
46,No,Travel_Rarely,931,Sales,8,5,Marketing,0,866,2,Male,74,4,4,Sales Executive,1,Divorced,10763,19239,3,Y,Yes,11,1,4,79,0,17,0,4,3,4,0,3
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0
33,Yes,Travel_Frequently,298,Sales,8,0,Marketing,0,553,5,Female,34,3,2,Sales Representative,4,Divorced,2350,12253,1,Y,No,15,5,3,81,1,2,3,3,3,3,1,0
30,Yes,Travel_Rarely,741,Sales,0,5,Life Sciences,0,1563,0,Male,66,3,1,Sales Executive,0,Married,9715,5323,1,Y,No,9,5,6,82,0,9,3,5,8,6,8,7
35,No,Travel_Rarely,330,Sales,17,2,Marketing,3,1435,2,Female,96,2,0,Sales Executive,0,Married,5648,13492,2,Y,No,12,1,3,80,0,11,5,4,5,0,0,1
21,No,Travel_Rarely,391,Research & Development,14,3,Life Sciences,3,28,4,Male,95,4,0,Research Scientist,6,Single,1233,19280,0,Y,No,13,1,3,80,0,0,7,3,0,0,0,0
33,Yes,Travel_Rarely,813,Research & Development,14,3,Medical,1,325,3,Male,58,3,1,Laboratory Technician,4,Married,2436,22149,5,Y,Yes,13,3,3,80,1,8,2,1,5,4,0,4
29,Yes,Non-Travel,337,Research & Development,10,1,Medical,0,992,5,Male,44,1,1,Research Scientist,0,Single,2320,10324,0,Y,Yes,22,3,2,80,0,5,1,3,1,3,3,3
38,No,Travel_Rarely,1423,Research & Development,16,3,Life Sciences,3,926,4,Male,70,2,0,Healthcare Representative,6,Married,6585,4822,0,Y,Yes,18,4,2,79,1,18,1,1,16,10,5,10
31,No,Travel_Rarely,691,Sales,7,3,Marketing,1,438,4,Male,73,3,2,Sales Executive,4,Divorced,7547,7143,4,Y,No,12,3,4,80,3,13,3,3,7,7,1,7
36,No,Non-Travel,150,Sales,10,2,Technical Degree,2,984,4,Female,87,5,1,Sales Executive,4,Single,5668,19900,3,Y,Yes,13,5,4,82,1,7,0,2,6,2,1,4
22,No,Travel_Rarely,1140,Sales,0,4,Medical,0,1658,2,Female,30,5,0,Sales Representative,4,Single,2783,13249,3,Y,No,21,4,3,80,2,1,4,4,2,2,4,1
44,No,Non-Travel,925,Research & Development,19,4,Medical,0,268,3,Female,37,2,3,Manufacturing Director,5,Divorced,5266,16439,1,Y,No,16,1,1,81,0,9,7,1,4,5,1,0
51,No,Travel_Rarely,1407,Research & Development,12,0,Technical Degree,0,1365,6,Female,81,3,6,Manufacturing Director,1,Single,13141,24437,1,Y,No,16,4,2,80,0,29,0,3,4,4,0,4
35,No,Travel_Rarely,1040,Research & Development,3,2,Life Sciences,2,1666,5,Male,78,3,3,Healthcare Representative,3,Divorced,6841,26308,4,Y,No,20,4,2,82,1,12,4,5,3,6,0,4
